ENGL,Hours,DI,DII,ENGL_MA_C,ENGL > 300,ENVI_MA_S_2,AS_MI_C_3,POST_MA_S_1,HISP_MA_C_3,ASIA_MA_C_2,GLHT_MI_2,PJHC_MI_C_1,PJHC_MI_C_2,PJHC_MI_C_3
ENGL 362,3,1,,,1,,,,,,,,,
ENGL 363,3,1,,,1,,,,,,,,,
ENGL 363,3,,,,1,,,,,,,,,
ENGL 364,3,,,,1,,,,,,,,,
ENGL 365,3,,,,1,,,,,,,,,
ENGL 366,3,,,,1,,,,,,,,,
ENGL 367,3,,,,1,1,,,,,,,,
ENGL 368,3,1,,,1,1,,1,,,,,,
ENGL 369,3,,,,1,,,,,,,,1,
ENGL 370,3,1,,,1,,,,,,,,,
ENGL 371,3,,,,1,,,,1,,,,1,
ENGL 372,3,,,,1,,,,,,,,,
ENGL 373,4,1,,,1,,,,,,,,,
ENGL 375,3,,,,1,,,,,,,,,
ENGL 376,3,,,,1,,1,,,,,1,,
ENGL 377,3,,,,1,,,,,,,,,
ENGL 378,3,,,,1,,,,,,,,,
ENGL 379,3,1,,,1,,1,,,,,1,,
ENGL 380,3,,,,1,,,,,,,,,
ENGL 381,3,,,,1,,,,,,,,,
ENGL 382,3,,,,1,,,,,,,,,
ENGL 383,3,1,,,1,,,,,,,1,,
ENGL 384,4,,,,1,,,,,,,,,
ENGL 385,3,,,,1,,,,,,,,,
ENGL 386,3,,,,1,,,,,,,,,
ENGL 387,V,,,,1,,,,,,,,,
ENGL 388,V,,,,1,,,,,,,,,
ENGL 389,3,,,,1,,,,,,,,1,
ENGL 390,3,1,,,1,,,,,,,,,
ENGL 392,3,,,,1,,,,,,,,,
ENGL 393,3,,,,1,,,,,,,,,
ENGL 394,3,1,,,1,,,,,,,,,
ENGL 395,3,,1,,1,,,,,,,,,
ENGL 396,3,,,,1,,,,,,,,,
ENGL 397,3,,,,1,,,,,,,1,,
ENGL 398,3,,,,1,,,,,,,,,
ENGL 399,3,,,,1,,,,,,,,,
ENGL 400,3,,,,1,,,,,,,,,
ENGL 401,3,,,,1,,,,,,,,,
ENGL 402,3,,,,1,,,,,,,,,
ENGL 404,3,,,,1,,,,,,,,,
ENGL 405,3,,,,1,,,,,,,,,
ENGL 412,3,,,,1,,,,,,,,,
ENGL 418,3,,,,1,,,,,,,,,
ENGL 419,3,,,,1,,,,,,,,,
ENGL 420,3,,,,1,,,,,,,,,
ENGL 421,3,,,,1,,,,,,,,,
ENGL 422,3,,,,1,,,,,,,,,
ENGL 423,3,,,,1,,,,,,,,,
ENGL 424,3,,,,1,,,,,,,,,
ENGL 432,3,,,,1,,,,,,,,,
ENGL 441,3,,,,1,,,,,,,,,
ENGL 459,3,,,,1,,,,,,,,,
ENGL 460,3,,,,1,,,,,,,,,
ENGL 461,3,,,,1,,,,,,,,,
ENGL 462,3,,,,1,,,,,,,,,
ENGL 466,3,,,,1,,,,,,,,,
ENGL 470,3,,,,1,,,,,,,,,
ENGL 471,3,,,,1,,,,,,,,,
ENGL 472,3,,,,1,1,,,,,,,,
ENGL 474,3,,,,1,,,,,,,,,
ENGL 480,3,,,,1,,,,,,,,,
ENGL 481,3,,,,1,,,,,,,,,
ENGL 484,3,,,,1,,,,,,,,,
ENGL 485,3,,,,1,,,,,,,,,
ENGL 487,3,,,,1,,,,,,,,,
ENGL 488,4,,,,1,,,,,,,,,
ENGL 489,V,,,,1,,,,,,,,,
ENGL 490,3,,,,1,,,,,,,,,
ENGL 493,V,,,,1,,,,,,,,,
ENGL 494,3,,,,1,,,,,,,,,
ENGL 495,3,,,,1,,,,,,,,,
ENGL 497,3,,,,1,,,,,,,,,
ENGL 498,3,,,,1,,,,,,,,,
ENGL 499,3,,,,1,,,,,,,,,
